,weights,ECBS,SASB-ECBS,DASB-ECBS,"BCBS(W,1)"
0,1.1,155454.98,249908.79,214933.43,nan
1,1.2,119473.46,172419.45,152811.47,227634
2,1.3,99519.63,142166.09,117526.94,221571
3,1.4,92849.87,114032.48,109479.41,191571
4,1.5,97161.26,101878.18,98047.48,181571
5,1.6,97984.09,103839.7,97332.23,171571
6,1.7,98672.93,101906.76,100041.26,161571
7,1.8,107008,97799.82,97689.04,171571
8,1.9,116198.34,99426.52,104249.26,172571
9,2,121075.12,94179.75,107217.9,173571
10,2.1,128141.74,97568.08,111833.69,174571
11,2.2,128981.77,98174.84,114708.24,177571
12,2.3,135875.97,99572.97,114328.71,181571
