,weights,ECBS,SASB-ECBS,DASB-ECBS,"BCBS(W,1)"
0,1.1,10754.86,19153.68,15547.49,nan
1,1.2,7770.25,12608.16,10724.26,16554
2,1.3,6150.22,9479.42,8050.59,14495
3,1.4,5715.85,7726.2,7205.68,13137
4,1.5,5815.96,6940.57,6270.43,13376
5,1.6,5761.14,6752.69,6018.55,14570
6,1.7,6000.14,6587.97,6186.47,13415
7,1.8,6120.78,6302.34,5832.16,13573
8,1.9,6576.35,6111.41,6332.68,12372
9,2,6924.78,5904.06,6360.39,12313
10,2.1,6219.57,6100.83,6422,12279
11,2.2,6277.96,5981.44,6874.53,12172
12,2.3,6481.43,5876.97,6748.67,12069
