,weights,ECBS,SASB-ECBS,DASB-ECBS,"BCBS(W,1)"
0,3.05,960676.40,652201.02,664845.33,1390676.40
1,3.10,853889.30,763608.04,655639.98,1239889.30
2,3.15,823569.10,675798.36,699914.35,1303569.10
3,3.20,848728.55,674939.05,676193.44,1248728.55
4,3.25,830041.57,641429.02,718339.25,1200728.55
5,3.30,810818.10,666944.23,719730.41,1228728.55
6,3.35,843579.93,653848.84,676224.38,1238728.55
7,3.40,812065.95,671116.09,678761.57,1268728.55
8,3.45,832189.82,649122.95,693710.87,1244728.55
9,3.50,811155.64,675302.77,681110.63,1202728.55
